time	count
20131130090304	5
20131130090306	9
20131130090308	4
20131130090310	10
20131130090312	9
20131130090314	5
20131130090316	6
20131130090318	7
20131130090320	4
20131130090322	6
20131130090324	4
20131130090326	5
20131130090328	8
20131130090330	7
20131130090332	10
20131130090334	4
20131130090336	5
20131130090338	8
20131130090340	2
20131130090342	6
20131130090344	6
20131130090346	5
20131130090348	4
20131130090350	9
20131130090352	1
20131130090354	1
20131130090356	8
20131130090358	9
20131130090360	2
20131130090362	8
20131130090364	2
20131130090366	1
20131130090368	5
20131130090370	1
20131130090372	7
20131130090374	8
20131130090376	10
20131130090378	4
20131130090380	2
20131130090382	6
20131130090384	7
20131130090386	7
20131130090388	7
20131130090390	5
20131130090392	4
20131130090394	2
20131130090396	10
20131130090398	1
20131130090400	7
20131130090402	2
20131130090404	9
20131130090406	7
20131130090408	4
20131130090410	7
20131130090412	3
20131130090414	6
20131130090416	8
20131130090418	5
20131130090420	6
20131130090422	5
20131130090424	6
20131130090426	7
20131130090428	7
20131130090430	2
20131130090432	9
20131130090434	3
20131130090436	1
20131130090438	2
20131130090440	8
20131130090442	5
20131130090444	10
20131130090446	9
20131130090448	9
20131130090450	9
20131130090452	2
20131130090454	10
20131130090456	2
20131130090458	7
20131130090460	6
20131130090462	3
20131130090464	3
20131130090466	6
20131130090468	1
20131130090470	4
20131130090472	5
20131130090474	8
20131130090476	1
20131130090478	3
20131130090480	7
20131130090482	4
20131130090484	7
20131130090486	3
20131130090488	10
20131130090490	2
20131130090492	2
20131130090494	1
20131130090496	4
20131130090498	9
20131130090500	9
20131130090502	3
20131130090504	7
20131130090506	9
20131130090508	5
20131130090510	3
20131130090512	8
20131130090514	4
20131130090516	5
20131130090518	5
20131130090520	4
20131130090522	1
20131130090524	1
20131130090526	6
20131130090528	3
20131130090530	2
20131130090532	5
20131130090534	7
20131130090536	1
20131130090538	3
20131130090540	5
20131130090542	4
20131130090544	5
20131130090546	8
20131130090548	6
20131130090550	4
20131130090552	5
20131130090554	4
20131130090556	6
20131130090558	10
20131130090560	7
20131130090562	2
20131130090564	3
20131130090566	1
20131130090568	6
20131130090570	10
20131130090572	7
20131130090574	10
20131130090576	5
20131130090578	4
20131130090580	9
20131130090582	1
20131130090584	2
20131130090586	5
20131130090588	5
20131130090590	10
20131130090592	3
20131130090594	4
20131130090596	9
20131130090598	1
20131130090600	6
20131130090602	10
20131130090604	2
20131130090606	4
20131130090608	3
20131130090610	6
20131130090612	10
20131130090614	5
20131130090616	1
20131130090618	8
20131130090620	9
20131130090622	7
20131130090624	7
20131130090626	3
20131130090628	4
20131130090630	1
20131130090632	10
20131130090634	10
20131130090636	5
20131130090638	5
20131130090640	3
20131130090642	2
20131130090644	2
20131130090646	5
20131130090648	4
20131130090650	2
20131130090652	4
20131130090654	7
20131130090656	1
20131130090658	5
20131130090660	6
20131130090662	8
20131130090664	7
20131130090666	2
20131130090668	10
20131130090670	2
20131130090672	9
20131130090674	6
20131130090676	2
20131130090678	2
20131130090680	3
20131130090682	2
20131130090684	1
20131130090686	3
20131130090688	5
20131130090690	7
20131130090692	7
20131130090694	1
20131130090696	4
20131130090698	5
20131130090700	9
20131130090702	2
20131130090704	6
20131130090706	5
20131130090708	3
20131130090710	2
20131130090712	6
20131130090714	3
20131130090716	1
20131130090718	3
20131130090720	1
20131130090722	6
20131130090724	5
20131130090726	2
20131130090728	3
20131130090730	7
20131130090732	2
20131130090734	7
20131130090736	2
20131130090738	9
20131130090740	3
20131130090742	1
20131130090744	7
20131130090746	2
20131130090748	4
20131130090750	10
20131130090752	7
20131130090754	7
20131130090756	3
20131130090758	9
20131130090760	2
20131130090762	1
20131130090764	1
20131130090766	6
20131130090768	2
20131130090770	10
20131130090772	10
20131130090774	3
20131130090776	4
20131130090778	4
20131130090780	1
20131130090782	4
20131130090784	7
20131130090786	2
20131130090788	8
20131130090790	2
20131130090792	10
20131130090794	2
20131130090796	5
20131130090798	2
20131130090800	2
20131130090802	2
20131130090804	9
20131130090806	1
20131130090808	1
20131130090810	3
20131130090812	5
20131130090814	10
20131130090816	8
20131130090818	7
20131130090820	3
20131130090822	9
20131130090824	3
20131130090826	7
20131130090828	7
20131130090830	3
20131130090832	8
20131130090834	10
20131130090836	1
20131130090838	5
20131130090840	2
20131130090842	8
20131130090844	6
20131130090846	6
20131130090848	7
20131130090850	7
20131130090852	5
20131130090854	10
20131130090856	9
20131130090858	10
20131130090860	3
20131130090862	1
20131130090864	7
20131130090866	7
20131130090868	10
20131130090870	9
20131130090872	4
20131130090874	5
20131130090876	10
20131130090878	5
20131130090880	6
20131130090882	8
20131130090884	6
20131130090886	4
20131130090888	9
20131130090890	5
20131130090892	6
20131130090894	10
20131130090896	4
20131130090898	5
20131130090900	8
20131130090902	5
20131130090904	5
20131130090906	10
20131130090908	2
20131130090910	1
20131130090912	10
20131130090914	7
20131130090916	7
20131130090918	5
20131130090920	3
20131130090922	2
20131130090924	9
20131130090926	1
20131130090928	9
20131130090930	2
20131130090932	9
20131130090934	6
20131130090936	7
20131130090938	2
20131130090940	9
20131130090942	7
20131130090944	4
20131130090946	10
20131130090948	4
20131130090950	7
20131130090952	2
20131130090954	6
20131130090956	10
20131130090958	7
20131130090960	1
20131130090962	8
20131130090964	10
20131130090966	3
20131130090968	1
20131130090970	6
20131130090972	4
20131130090974	4
20131130090976	8
20131130090978	3
20131130090980	6
20131130090982	7
20131130090984	2
20131130090986	10
20131130090988	1
20131130090990	9
20131130090992	8
20131130090994	2
20131130090996	10
20131130090998	8
20131130091000	7
